electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,municipality_code,postcode,address,canton,commissioning_date,contract_period_end,company,tariff,project_name,production
0.01,Renewable energy,Hydro,,Run-of-river,BFE,CH0,CH02,CH023,7.5884,47.1985,Derendingen,4552,4552.0,,SO,2006-01-18,2031-12-31,Juridical person,17415.470000000005,Juridical person,50.41017
0.006,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH06,CH061,8.1819,47.0363,Malters,6102,6102.0,,LU,2006-01-24,2031-12-31,Juridical person,3272.08,Juridical person,11.693
0.0075,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH052,8.5524,47.7012,Löhningen,8224,8224.0,,SH,2006-01-24,2031-12-31,Natural person,6619.510000000001,Natural person,8.826
0.0065,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.7202,47.2705,Oetwil am See,8618,8618.0,,ZH,2006-01-31,2031-12-31,Juridical person,4149.0,Juridical person,5.532
0.0029,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.0801,47.1149,Nods,2518,2518.0,,BE,2006-02-07,2031-12-31,Natural person,2070.0,Natural person,2.76
0.00796,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.3421,46.8181,Schwarzenburg,3150,3150.0,,BE,2006-02-14,2031-12-31,Natural person,1900.8,Natural person,6.6
0.353,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH02,CH021,7.1785,47.1915,Sonceboz-Sombeval,2605,2605.0,Sous les Roches,BE,2006-02-16,2031-12-31,Turbinor SA,359588.9200000001,PCH Sonceboz Sous les Roches,1449.3355839999997
0.0065,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.0514,47.3057,Schöftland,5040,5040.0,,AG,2006-02-17,2031-12-31,Natural person,4429.5,Natural person,5.906
0.0131,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.5498,47.4827,Ettingen,4107,4107.0,,BL,2006-02-17,2031-12-31,Juridical person,10605.019999999997,Juridical person,14.607474000000002
0.0088,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.4331,46.7147,Summaprada,7421,7421.0,,GR,2006-02-20,2031-12-31,Natural person,4537.41,Natural person,6.04987
0.0024,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.5721,47.5234,Bottmingen,4103,4103.0,,BL,2006-02-21,2031-12-31,Natural person,1661.1499999999999,Natural person,2.214846
0.016,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH02,CH021,7.6936,46.6254,Reichenbach,3713,3713.0,,BE,2006-03-01,2026-12-31,Natural person,38199.56,Natural person,78.762
0.055,Renewable energy,Hydro,,Run-of-river,BFE,CH0,CH06,CH062,8.6444,46.8804,Altdorf,6460,6460.0,Gotthardstrasse 31,UR,2006-03-01,2031-12-31,Elektrizitätswerk Altdorf AG (EWA),105392.15000000001,KW Dorfbach,451.52565000000004
0.002,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH024,6.9562,47.0282,Chaumont,2067,2067.0,,NE,2006-03-06,2031-12-31,Natural person,1556.1,Natural person,1.729
0.0024,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.5353,46.7252,Blumenstein,3638,3638.0,,BE,2006-03-06,2031-12-31,Natural person,1362.75,Natural person,1.817
0.003,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH03,CH033,8.3385,47.2743,Muri,5630,5630.0,,AG,2006-03-13,2031-12-31,Juridical person,1344.68,Juridical person,4.967
0.0042,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.6299,47.6839,Flurlingen,8247,8247.0,,ZH,2006-03-14,2031-12-31,Natural person,2428.5,Natural person,3.238
0.004,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.9435,46.0126,Lugano,6900,6900.0,,TI,2006-03-20,2031-12-31,Natural person,3468.75,Natural person,4.625
0.0064,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.7431,47.2141,Bützberg,4922,4922.0,,BE,2006-03-24,2031-12-31,Natural person,4943.700000000001,Natural person,5.493
0.0355,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH061,8.3005,47.0861,Emmen,6032,6032.0,Oberhasli ,LU,2006-03-27,2031-12-31,Franz Helfenstein,17352.79,PV Franz Helfenstein Emmen,25.746
0.36,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH04,CH040,8.4043,47.2823,Ottenbach,8913,8913.0,Mülibach,ZH,2006-04-01,2026-12-31,Ökopower AG,473030.94,Kompogas-Anlage Ottenbach,2009.6596000000004
0.0049,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.5405,47.522,Bülach,8180,8180.0,,ZH,2006-04-01,2031-12-31,Natural person,4011.0,Natural person,5.348
0.0013,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.1417,47.4465,Niederuzwil,9244,9244.0,,SG,2006-04-01,2031-12-31,Juridical person,890.2499999999999,Juridical person,1.187
0.625,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH02,CH021,7.2758,47.0444,Aarberg,3270,3270.0,Alte-Lyss-Strasse 31,BE,2006-04-01,2026-12-31,Axpo Kompogas AG,630326.7200000001,B Kompogas-Anlage Aarberg,3696.3732999999997
0.003,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.8997,46.0477,Arosio,6939,6939.0,,TI,2006-04-01,2031-12-31,Natural person,2262.75,Natural person,3.017
0.043,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH05,CH055,9.3426,46.9911,Weisstannen,7326,7326.0,Gaedmen-Weisstannen,SG,2006-04-04,2031-12-31,"Politische Gemeinde Mels, Elektrizitäts- & Wasserwerk",55072.50000000001,TWKW Reservoir Weisstannen,199.1572
0.0062,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.3579,46.2094,Salins,1991,1991.0,,VS,2006-04-07,2031-12-31,Natural person,5472.75,Natural person,7.297
0.0036,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.879,47.3674,Bauma,8494,8494.0,,ZH,2006-04-07,2031-12-31,Natural person,2949.0,Natural person,3.932
0.0075,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.6268,47.4149,Heerbrugg,9435,9435.0,,SG,2006-04-10,2031-12-31,Juridical person,6007.49,Juridical person,8.058
0.0042,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.8962,46.4678,Blonay,1807,1807.0,,VD,2006-04-15,2031-12-31,Natural person,1497.5999999999997,Natural person,1.664
0.0026,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH024,,,Neuchâtel,2009,,,NE,2006-04-15,2031-12-31,Juridical person,1985.25,Juridical person,2.647
0.2704,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1361,46.1917,Carouge,1227,1227.0,Avenue Vibert 32,GE,2006-04-20,2031-12-31,ADEV Solarstrom AG,69273.61,*PV ADEV Solarstrom AG Carouge,113.8276
0.2704,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1361,46.1917,Carouge,1227,1227.0,Avenue Vibert 32,GE,2006-04-20,2031-12-31,Services Industriels de Genève (SIG),120906.16,*PV Services Industriels de Genève (SIG) Carouge,198.20080000000002
0.0048,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.8439,47.2943,Hinwil,8340,8340.0,,ZH,2006-04-21,2031-12-31,Natural person,3787.5,Natural person,5.05
0.032,Renewable energy,Hydro,,Run-of-river,BFE,CH0,CH05,CH051,9.0789,47.0336,Ennenda,8755,8755.0,Wiesstrasse 2,GL,2006-04-24,2031-12-31,Schilta AG,69988.14999999998,Wasserkraftschnecke,225.04222500000003
0.0064,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.5579,47.5141,Oberwil,4104,4104.0,,BL,2006-04-25,2031-12-31,Natural person,4241.25,Natural person,5.654986
0.0029,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH024,6.7491,47.0562,Le Prévoux,2400,2400.0,,NE,2006-04-25,2031-12-31,Natural person,2272.5,Natural person,3.03
0.0126,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.4241,47.2006,Bettlach,2544,2544.0,,SO,2006-04-26,2031-12-31,Natural person,7636.61,Natural person,12.377
0.001,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,9.0225,46.1999,Camorino,6528,6528.0,,TI,2006-04-27,2031-12-31,Natural person,735.75,Natural person,0.981
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.4417,47.2043,Gams,9473,9473.0,,SG,2006-04-27,2031-12-31,Natural person,2747.25,Natural person,3.663
0.0042,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.4886,47.0906,Fontnas,9476,9476.0,,SG,2006-04-27,2031-12-31,Natural person,3883.9700000000007,Natural person,5.178627
0.12,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH01,CH012,7.3556,46.2274,Sion,1950,1950.0,,VS,2006-04-28,2031-12-31,Ville de Sion,151237.43,Micro-centrale de Combette Sion,555.832425
0.0063,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.3976,46.7989,Rhäzüns,7403,7403.0,,GR,2006-04-28,2031-12-31,Natural person,5231.259999999999,Natural person,6.975
0.0034,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.0455,47.4615,Wil,9500,9500.0,,SG,2006-05-01,2031-12-31,Natural person,2425.7499999999995,Natural person,3.234348
0.9,Renewable energy,Hydro,,Run-of-river,BFE,CH0,CH01,CH012,6.891,46.2036,Val-d'Illiez,1873,1873.0,,VS,2006-05-01,2031-12-31,Hydro-SOI SA,466452.5999999999,Centrale du torrent de Soi,2324.0145
0.0065,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.5246,47.31,Adliswil,8134,8134.0,,ZH,2006-05-05,2031-12-31,Natural person,4191.0,Natural person,5.588
0.0036,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.7573,47.2367,Uerikon,8713,8713.0,,ZH,2006-05-05,2031-12-31,Juridical person,3011.6499999999996,Juridical person,4.04
0.005,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.7825,46.5009,Puidoux,1070,1070.0,,VD,2006-05-08,2031-12-31,Natural person,4867.200000000001,Natural person,5.408
0.0105,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4146,46.9244,Köniz,3098,3098.0,,BE,2006-05-10,2031-12-31,Juridical person,8590.849999999999,Juridical person,9.631
0.0121,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.7402,46.9876,Ranflüh,3439,3439.0,,BE,2006-05-10,2031-12-31,Natural person,6479.72,Natural person,8.84
0.00647,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH025,7.3409,47.3443,Rossemaison,2842,2842.0,,JU,2006-05-11,2031-12-31,Natural person,1085.3100000000002,Natural person,4.475
0.0128,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH066,8.5295,47.1963,Baar,6340,6340.0,,ZG,2006-05-12,2031-12-31,Juridical person,8527.06,Juridical person,11.713
0.0029,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.8737,46.4723,St-Légier-La Chiésaz,1806,1806.0,,VD,2006-05-15,2031-12-31,Natural person,1926.0,Natural person,2.568
0.06,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH01,CH012,7.7486,46.02,Zermatt,3920,3920.0,,VS,2006-05-18,2031-12-31,Einwohnergemeinde Zermatt Wasserversorgung,110755.91999999998,TWKW Wichje Zermatt,417.5453759999999
0.0079,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.4417,47.2043,Gams,9473,9473.0,,SG,2006-05-19,2031-12-31,Natural person,5799.000000000001,Natural person,7.732
0.0026,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.5694,46.7024,Chavornay,1373,1373.0,,VD,2006-05-19,2031-12-31,Natural person,1637.9999999999998,Natural person,1.82
0.0045,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.3449,47.4946,Häggenschwil,9312,9312.0,,SG,2006-05-22,2031-12-31,Natural person,3122.1,Natural person,3.469
0.017,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,7.892,47.3051,Rothrist,4852,4852.0,,AG,2006-05-24,2031-12-31,Natural person,10043.460000000001,Natural person,15.644
0.0024,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.5252,46.6108,Penthalaz,1305,1305.0,,VD,2006-05-24,2031-12-31,Juridical person,2136.6,Juridical person,2.374
0.0091,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.441,47.049,Sargans,7320,7320.0,,SG,2006-05-29,2031-12-31,Natural person,5640.29,Natural person,10.054
0.005,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.1015,45.9723,Champex-lac,1938,1938.0,,VS,2006-05-30,2031-12-31,Natural person,3555.75,Natural person,4.741
0.004,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.6054,46.56399999999999,Romanel-sur-Lausanne,1032,1032.0,,VD,2006-05-31,2031-12-31,Natural person,3258.0,Natural person,4.344
0.027,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH06,CH064,8.2125,46.8871,Stalden,6063,6063.0,,OW,2006-06-01,2031-12-31,Juridical person,34600.469999999994,Juridical person,122.881725
0.0034,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.0455,47.4615,Wil,9500,9500.0,,SG,2006-06-01,2031-12-31,Natural person,2817.33,Natural person,3.756425
0.003,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.486,47.1221,Sevelen,9475,9475.0,,SG,2006-06-01,2031-12-31,Natural person,2659.4999999999995,Natural person,3.546
0.023,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH02,CH021,7.4911,46.6595,Därstetten,3763,3763.0,,BE,2006-06-01,2031-12-31,Juridical person,41744.229999999996,Juridical person,168.442
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.0477,47.4157,Küttigen,5024,5024.0,,AG,2006-06-07,2031-12-31,Natural person,2550.9200000000005,Natural person,3.4012379999999998
0.0061,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.4185,46.519,Yens,1169,1169.0,,VD,2006-06-07,2031-12-31,Natural person,5814.0,Natural person,7.752
0.04,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH02,CH022,7.1172,46.7905,Villars-sur-Glâne,1752,1752.0,Chemin de Ste-Apolline 18,FR,2006-06-10,2031-12-31,Anne-Elisabeth Nobs,87480.48000000001,Usine de Ste-Apolline Anne-Elisabeth Nobs,138.645
0.25,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH05,CH056,9.5329,46.8499,Chur,7000,7000.0,Deutsche Strasse 65,GR,2006-06-12,2026-12-31,Halbmil Biogas GmbH,193271.70999999993,Biogasanlage Mani Chur,894.8542
0.0047,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.444,47.1825,Grabs,9472,9472.0,,SG,2006-06-15,2031-12-31,Natural person,3736.5000000000005,Natural person,4.982
0.0124,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.0972,47.0659,La Neuveville,2520,2520.0,,BE,2006-06-15,2031-12-31,Natural person,3923.3400000000006,Natural person,8.529
0.38,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH02,CH023,7.9559,47.3245,Walterswil,5746,5746.0,Höhleweg 4,SO,2006-06-19,2026-12-31,BAWA Biogas GmbH,666224.7599999999,BAWA Biogasanlage Walterswil,1570.9173999999998
0.002,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.6683,46.549,Epalinges,1066,1066.0,,VD,2006-06-21,2031-12-31,Natural person,1635.0,Natural person,2.18
0.0113,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.8928,46.4543,Chailly-Montreux,1816,1816.0,,VD,2006-06-23,2031-12-31,Natural person,7732.14,Natural person,12.93
0.0098,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.6961,47.4463,Lupsingen,4419,4419.0,,BL,2006-06-28,2031-12-31,Natural person,4938.289999999998,Natural person,9.645112999999998
6.55,Renewable energy,Hydro,,Run-of-river,BFE,CH0,CH03,CH033,8.3059,47.4733,Baden,5400,5400.0,Im Roggenbode 19,AG,2006-06-28,2031-12-31,Limmatkraftwerke AG,3767312.7700000005,KW Kappelerhof - Ausbau,30170.165563000002
0.0042,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.3384,46.9542,Frauenkappelen,3202,3202.0,,BE,2006-06-29,2031-12-31,Natural person,3102.89,Natural person,5.286
0.0101,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH022,6.8451,46.6432,Ursy,1670,1670.0,,FR,2006-06-30,2031-12-31,Natural person,8150.15,Natural person,12.558
0.0057,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.56,46.8358,Maladers,7026,7026.0,,GR,2006-06-30,2031-12-31,Natural person,3846.84,Natural person,5.551
0.0038,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4361,46.9248,Spiegel b. Bern,3095,3095.0,,BE,2006-07-01,2031-12-31,Natural person,3111.75,Natural person,4.149
0.0063,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH057,8.8734,47.6067,Hüttwilen,8536,8536.0,,TG,2006-07-01,2031-12-31,Natural person,4146.3,Natural person,4.607
0.0062,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.486,47.1221,Sevelen,9475,9475.0,,SG,2006-07-01,2031-12-31,Natural person,4692.950000000001,Natural person,6.932
0.0029,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.5228,46.7903,Baulmes,1446,1446.0,,VD,2006-07-02,2031-12-31,Natural person,1967.25,Natural person,2.623
0.0042,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.55,47.3667,Zürich,8049,8049.0,,ZH,2006-07-05,2031-12-31,Natural person,3255.7900000000004,Natural person,4.34103
0.006,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.8737,46.4723,St-Légier-Chiésaz,1806,1806.0,,VD,2006-07-06,2031-12-31,Natural person,5098.5,Natural person,6.798
0.0119,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH061,7.8847,47.1812,Altbüron,6147,6147.0,,LU,2006-07-06,2031-12-31,Natural person,5741.49,Natural person,12.536
0.012,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH06,CH066,8.5174,47.1724,Zug,6300,6300.0,,ZG,2006-07-12,2031-12-31,Juridical person,5295.71,Juridical person,16.124375
0.0045,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH066,8.4512,47.1743,Hünenberg See,6333,6333.0,,ZG,2006-07-14,2031-12-31,Natural person,3348.0000000000005,Natural person,4.464
0.003,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.792,47.3645,Pfäffikon,8330,8330.0,,ZH,2006-07-20,2031-12-31,Natural person,2442.75,Natural person,3.257
0.002,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.2828,46.6478,Le Séchey,1345,1345.0,,VD,2006-07-21,2031-12-31,Natural person,798.0,Natural person,1.064
0.25,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH04,CH040,8.6533,47.6291,Marthalen,8460,8460.0,Sunnehof 1,ZH,2006-08-01,2026-12-31,Sunnehofenergie GmbH,253747.61000000002,B Sunnehofenergie GmbH Marthalen,558.5700000000002
0.004,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.8416,47.2786,Dürnten,8635,8635.0,,ZH,2006-08-02,2031-12-31,Natural person,3651.31,Natural person,4.057
0.11,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH01,CH012,7.3556,46.2274,Sion,1950,1950.0,,VS,2006-08-08,2031-12-31,Ville de Sion,151371.99999999994,Micro-centrale de Purgatoire I,557.823
0.0011,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH051,8.9964,46.9416,Braunwald,8784,8784.0,,GL,2006-08-09,2031-12-31,Natural person,798.0,Natural person,1.064
0.0148,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4801,46.8103,Riggisberg,3132,3132.0,,BE,2006-08-10,2031-12-31,Natural person,6802.42,Natural person,13.286
0.0036,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.444,47.1825,Grabs,9472,9472.0,,SG,2006-08-16,2031-12-31,Natural person,2242.5,Natural person,2.99
0.0029,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.6315,46.5582,Le Mont-sur-Lausanne,1052,1052.0,,VD,2006-08-17,2031-12-31,Natural person,2651.2500000000005,Natural person,3.535
0.0216,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH022,6.8108,46.8245,Châbles,1474,1474.0,,FR,2006-08-19,2031-12-31,Natural person,12731.4,Natural person,21.219
0.11,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH05,CH057,9.0651,47.60899999999999,Wagerswil,8564,8564.0,Hinterdorf 14,TG,2006-08-20,2026-12-31,Ernst Fillinger,199025.37000000005,Biogasanlage Filinger Wagerswil,417.7387
0.004,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.5741,47.3402,Zollikon,8702,8702.0,,ZH,2006-08-25,2031-12-31,Natural person,2493.0,Natural person,3.324
0.0016,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH024,6.8147,46.9296,Bevaix,2022,2022.0,,NE,2006-08-25,2031-12-31,Natural person,731.25,Natural person,0.975
0.24,Renewable energy,Bioenergy,Biomass and biogas,Other or unspecified technology,BFE,CH0,CH06,CH061,8.1549,47.2174,Rickenbach,6221,6221.0,Hasenhusen 4,LU,2006-08-25,2026-12-31,Hawisa GmbH,316728.30000000005,Biogasanlage Hawisa GmbH Rickenbach,731.5858199999999
0.249,Renewable energy,Bioenergy,Sewage and landfill gas,,BFE,CH0,CH03,CH032,7.7313,47.5069,Füllinsdorf,4414,4414.0,Wölferstrasse 13,BL,2006-09-02,2026-12-31,Amt für Industrielle Betriebe AIB,278596.32999999996,BHKW ARA Ergolz 2 Füllinsdorf ,1456.11705
0.0053,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4474,46.9481,Bern,3006,3006.0,,BE,2006-09-06,2031-12-31,Natural person,3644.3600000000006,Natural person,4.859113000000001
0.0029,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.6328,46.51600000000001,Lausanne,1010,1010.0,,VD,2006-09-11,2031-12-31,Natural person,2511.7499999999995,Natural person,3.349
0.002,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH024,7.0705,47.057,Le Landeron,2525,2525.0,,NE,2006-09-11,2031-12-31,Natural person,1503.75,Natural person,2.005
0.0016,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.0442,47.3925,Aarau,5000,5000.0,,AG,2006-09-14,2031-12-31,Natural person,1056.5500000000002,Natural person,1.408731
0.0031,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH024,6.8775,46.9864,Corcelles,2035,2035.0,,NE,2006-09-14,2031-12-31,Natural person,2139.0,Natural person,2.852
